file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00661_0116_1021134_to_1023796,ཨ། བླ་མ་དང་དགེ་རྒན་གིས། རང་གི་སློབ་མ་ལ་ཡ།  ,a/_bla ma dang dge rgan gis/_rang gi slob ma la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00661_0116_1021134_to_1023796.wav,STT_TT,3,43,2.662,wav16k/STT_TT00661_0116_1021134_to_1023796.wav,ཨ། བླ་མ་དང་དགེ་རྒན་གིས་རང་གི་སློབ་མ་ལ་ཡ།
STT_TT00670_0086_792749_to_794829,ཨེ་ནས་སྔགས་འདྲ་བོ་ཅིག བཤད་ཡོང་དུས་ཅིག ,e nas sngags 'dra bo cig_bshad yong dus cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00670_0086_792749_to_794829.wav,STT_TT,3,38,2.08,wav16k/STT_TT00670_0086_792749_to_794829.wav,ཨེ་ནས། སྔགས་འདྲ་བོ་ཅིག་ཅིག་བཤད་ཡོང་དུས་ཅིག
STT_TT00671_0631_4990110_to_4993182,སྲིད་ལས་བྱུང་ལ་འགྲོ་བ་རྟག་ཏུ་རྨོངས།  ,srid las byung la 'gro ba rtag tu rmongs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00671_0631_4990110_to_4993182.wav,STT_TT,3,37,3.072,wav16k/STT_TT00671_0631_4990110_to_4993182.wav,སྲིད་ལས་བྱུང་ལ་འགྲོ་བ་རྟག་ཏུ་རྨོངས།
STT_TT00667_0223_2161680_to_2166339,ལྷ་མི་དབང་ཕྱུག་སོགས། དོན་དུ་གཉེར་བའི་བསམ་པའི་ཟེ། བསམ་བློ་དེ་འདྲའི་ཅིག་བྱས།  ,lha mi dbang phyug sogs/_don du gnyer ba'i bsam pa'i ze/_bsam blo de 'dra'i cig byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00667_0223_2161680_to_2166339.wav,STT_TT,3,76,4.659,wav16k/STT_TT00667_0223_2161680_to_2166339.wav,ལྷ་མིའི་དབང་ཕྱུག་སོགས། དོན་དུ་གཉེར་བའི་བསམ་པའི་ཟེ། བསམ་བློ་འདི་འདྲའི་ཅིག་བྱས།
STT_TT00657_0094_891694_to_894062,ཧེ་ཧེ། བྱས་ཙང་དེ་ཡིན་དུས། བྱམས་སྙིང་རྗེ་གིས་ ,he he/_byas tsang de yin dus/_byams snying rje gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00657_0094_891694_to_894062.wav,STT_TT,3,45,2.368,wav16k/STT_TT00657_0094_891694_to_894062.wav,ཧ། བྱས་ཙང་།དེ་ཡིན་དུས། བྱམས་སྙིང་རྗེ་གིས།
STT_TT00659_0281_2395383_to_2397399,དེ་སེམས་ཅན་ཞིང་དང་ནི་ ,de sems can zhing dang ni _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00659_0281_2395383_to_2397399.wav,STT_TT,3,22,2.016,wav16k/STT_TT00659_0281_2395383_to_2397399.wav,དེ། སེམས་ཅན་ཞིང་དང་ནི།
STT_TT00671_0191_1505025_to_1507090,རགས། རགས་པ་ཐོག་ནས་བཤད་པ་ཡིན་པ་ཡིན་ན།  ,rags/_rags pa thog nas bshad pa yin pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00671_0191_1505025_to_1507090.wav,STT_TT,3,38,2.065,wav16k/STT_TT00671_0191_1505025_to_1507090.wav,རགས། རགས་པ་ཐོག་ནས་བཤད་པ་ཡིན་པ་ཡིན་ན།
STT_TT00674_0175_1894287_to_1896623,འཆི་བའི་ཚེ་ཆོས་མ་གཏོགས་གཞན་གང་གིས་ཀྱང་མི་ཕན་པ།  ,'chi ba'i tshe chos ma gtogs gzhan gang gis kyang mi phan pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00674_0175_1894287_to_1896623.wav,STT_TT,3,48,2.336,wav16k/STT_TT00674_0175_1894287_to_1896623.wav,འཆི་བའི་ཚེ། ཆོས་མ་གཏོགས་གཞན་གང་གིས་ཀྱང་མི་ཕན་པ།
STT_TT00671_0641_5115905_to_5118305,འདི་ནི་འགོག་པ་འཕགས་པའི་བདེན་པའོ།  ,'di ni 'gog pa 'phags pa'i bden pa'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00671_0641_5115905_to_5118305.wav,STT_TT,3,34,2.4,wav16k/STT_TT00671_0641_5115905_to_5118305.wav,འདི་ནི་འགོག་པ་འཕགས་པའི་བདེན་པའོ།
STT_TT00665_0267_2577090_to_2579330,སངས་རྒྱས་ཀི་གོ་འཕང་ཐོབ་ཡ་གི་ཐབས་ལམ་དེ་ག་རེ་རེད།  ,sangs rgyas ki go 'phang thob ya gi thabs lam de ga re red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00665_0267_2577090_to_2579330.wav,STT_TT,3,49,2.24,wav16k/STT_TT00665_0267_2577090_to_2579330.wav,སངས་རྒྱས་ཀི་གོ་འཕང་ཐོབ་ཡ་གི་ཐབས་ལམ་དེ་ག་རེ་རེད།
